xi_km,a_xi,b_xi,theta_xi,E_xi
133.0830830830831,-5.3066511780743825e-05,2.451139162448828e-05,0.46189943152401997,1.7084314959724286e-09
133.37337337337334,-5.2921561313673524e-05,2.429739397266658e-05,0.45912088323797773,1.6955275028699402e-09
133.66366366366367,-5.2776524550258465e-05,2.4085229197023306e-05,0.4563625475960856,1.682729904538589e-09
133.9539539539539,-5.2631406306736036e-05,2.3874883691187407e-05,0.4536242780982232,1.6700375005462301e-09
134.24424424424424,-5.2486211372952804e-05,2.3666343902325396e-05,0.4509059290669461,1.6574491089947074e-09
134.53453453453452,-5.2340944512364835e-05,2.345959633114167e-05,0.4482073556314915,1.644963566233285e-09
134.82482482482482,-5.219561046203746e-05,2.3254627531878232e-05,0.44552841371194657,1.6325797265755715e-09
135.11511511511512,-5.205021393264531e-05,2.3051424112314797e-05,0.4428689600035861,1.6202964620199761e-09
135.4054054054054,-5.190475960847249e-05,2.2849972733768928e-05,0.4402288519613738,1.6081126619736503e-09
135.6956956956957,-5.17592521474123e-05,2.2650260111095716e-05,0.4376079477846187,1.5960272329798493e-09
135.98598598598596,-5.161369618096751e-05,2.245227301268816e-05,0.43500610640180054,1.5840390984487526e-09
136.27627627627626,-5.146809631425009e-05,2.2255998260476814e-05,0.43242318745554115,1.5721471983916351e-09
136.56656656656656,-5.13224571259815e-05,2.2061422729930085e-05,0.4298590512877394,1.5603504891584424e-09
136.85685685685684,-5.1176783168492446e-05,2.186853335005402e-05,0.42731355892485295,1.5486479431786584e-09
137.14714714714717,-5.103107896772299e-05,2.167731710339239e-05,0.42478657206333476,1.5370385487055042e-09
137.4374374374374,-5.0885349023222594e-05,2.148776102602675e-05,0.42227795305521754,1.5255213095634074e-09
137.72772772772774,-5.0739597808149964e-05,2.129985220757627e-05,0.41978756489384345,1.5140952448987043e-09
138.01801801801798,-5.059382976927325e-05,2.1113577791197946e-05,0.41731527119974393,1.5027593889335837e-09
138.3083083083083,-5.044804932696985e-05,2.0928924973586372e-05,0.4148609362066579,1.4915127907231953e-09
138.59859859859858,-5.0302260875226566e-05,2.0745881004973996e-05,0.41242442474769886,1.480354513915945e-09
138.88888888888889,-5.0156468781639536e-05,2.0564433189130896e-05,0.4100056022416552,1.4692836365169048e-09
139.1791791791792,-5.001067738741419e-05,2.038456888336486e-05,0.4076043346794357,1.458299250654334e-09
139.46946946946946,-4.9864891007365405e-05,2.0206275498521497e-05,0.40522048861065163,1.4474004623492907e-09
139.75975975975976,-4.971911392991726e-05,2.0029540498984e-05,0.40285393113033163,1.4365863912882663e-09
140.05005005005006,-4.95733504171033e-05,1.985435140267338e-05,0.40050452986577706,1.4258561705988773e-09
140.34034034034033,-4.942760470456633e-05,1.9680695781048334e-05,0.3981721529635473,1.4152089466285206e-09
